Category,Satellite_System,Mode_Sensor,Resolution,Polarization,Archive_SLC_Price,Tasking_PathImage_Price,Unit,Notes
ระบบเรดาร์ (RADARSAT-2),RADARSAT-2 (C band),Wide,30 m.,,"57,600","57,600",บาท/ภาพ,ราคา SLC vs Path Image
ระบบเรดาร์ (RADARSAT-2),RADARSAT-2 (C band),ScanSAR Narrow,50 m.,,N/A,"57,600",บาท/ภาพ,ราคา SLC vs Path Image
ระบบเรดาร์ (RADARSAT-2),RADARSAT-2 (C band),ScanSAR Wide,100 m.,,N/A,"57,600",บาท/ภาพ,ราคา SLC vs Path Image
ระบบเรดาร์ (RADARSAT-2),RADARSAT-2 (C band),"Extended High, Low",25 m.,,"57,600","57,600",บาท/ภาพ,ราคา SLC vs Path Image
ระบบเรดาร์ (RADARSAT-2),RADARSAT-2 (C band),Fine Quad-Pol,8 m.,,"86,400",N/A,บาท/ภาพ,ราคา SLC vs Path Image
ระบบเรดาร์ (RADARSAT-2),RADARSAT-2 (C band),Wide Fine Quad-Pol,8 m.,,"124,800",N/A,บาท/ภาพ,ราคา SLC vs Path Image
ระบบเรดาร์ (TerraSAR X),TerraSar X (X band),Staring Spotlight (ST),0.25 m.,,"162,630","325,260",บาท/ภาพ,
ระบบเรดาร์ (TerraSAR X),TerraSar X (X band),High Res Spotlight (HS),1 m.,,"139,230","278,460",บาท/ภาพ,
ระบบเรดาร์ (TerraSAR X),TerraSar X (X band),Spotlight,2 m.,,"99,450","198,900",บาท/ภาพ,
ระบบเรดาร์ (TerraSAR X),TerraSar X (X band),StripMap,3 m.,,"69,030","138,060",บาท/ภาพ,
ระบบเรดาร์ (TerraSAR X),TerraSar X (X band),ScanSAR,18.5 m.,,"40,950","81,900",บาท/ภาพ,
ระบบเรดาร์ (TerraSAR X),TerraSar X (X band),Wide ScanSAR,40 m.,,"40,950","81,900",บาท/ภาพ,
ระบบเรดาร์ (COSMO SkyMed),COSMO SkyMed (X band),Spotlight-2,1x1 m.,"HH, VV",N/A,"180,000",บาท/ภาพ,New Acquisition เท่านั้น
ระบบเรดาร์ (COSMO SkyMed),COSMO SkyMed (X band),StripMap Himage,3 x 3 – 5 x 5 m.,"HH, HV, VH, VV",N/A,"93,000",บาท/ภาพ,New Acquisition เท่านั้น
ระบบเรดาร์ (COSMO SkyMed),COSMO SkyMed (X band),StripMap PingPong,10 x 12 – 20 x 20 m.,"HH,VV หรือ HH,HV หรือ VV,VH",N/A,"68,000",บาท/ภาพ,2 ช่องสัญญาณ polarimattric | New Acquisition เท่านั้น
ระบบเรดาร์ (COSMO SkyMed),COSMO SkyMed (X band),ScanSAR Wide,14 x 22 – 30 x 30 m.,"HH, HV, VH, VV",N/A,"78,000",บาท/ภาพ,New Acquisition เท่านั้น
